id,qr_code_uid,qr_code_name
M001199-capitol,2017/03/19/4a4lvymx6n_M001199_capitol.png,M001199-capitol.png
F000465-capitol,2017/03/19/33h906opc3_F000465_capitol.png,F000465-capitol.png
K000391-capitol,2017/03/19/62hrlw5vzs_K000391_capitol.png,K000391-capitol.png
H001077-capitol,2017/03/19/13p5twc93x_H001077_capitol.png,H001077-capitol.png
R000606-capitol,2017/03/19/8rb50g97vt_R000606_capitol.png,R000606-capitol.png
B001301-capitol,2017/03/19/2reiav1hcc_B001301_capitol.png,B001301-capitol.png
P000613-capitol,2017/03/19/93s0sxm618_P000613_capitol.png,P000613-capitol.png
J000299-capitol,2017/03/19/i5ydljj8r_J000299_capitol.png,J000299-capitol.png
H001076-capitol,2017/03/19/7d1et79mbg_H001076_capitol.png,H001076-capitol.png
C001112-capitol,2017/03/19/60c6bcwrg5_C001112_capitol.png,C001112-capitol.png
B001298-capitol,2017/03/19/5fi13ck0e4_B001298_capitol.png,B001298-capitol.png
G000583-capitol,2017/03/19/jch7wpzco_G000583_capitol.png,G000583-capitol.png
T000478-capitol,2017/03/19/6drz3h77th_T000478_capitol.png,T000478-capitol.png
A000375-capitol,2017/03/19/34b9bu8pmr_A000375_capitol.png,A000375-capitol.png
D000626-capitol,2017/03/19/4c4cmybrmm_D000626_capitol.png,D000626-capitol.png
A000367-battle_creek,2017/03/19/4qwhejvws_A000367_battle_creek.png,A000367-battle_creek.png
R000608-capitol,2017/03/19/zujuigb9e_R000608_capitol.png,R000608-capitol.png
S001199-capitol,2017/03/19/5c9a2s9lgm_S001199_capitol.png,S001199-capitol.png
K000393-capitol,2017/03/19/5492zw0nyv_K000393_capitol.png,K000393-capitol.png
G000579-capitol,2017/03/19/9ffof0mppo_G000579_capitol.png,G000579-capitol.png
E000296-capitol,2017/03/19/ummr9t6j2_E000296_capitol.png,E000296-capitol.png
A000369-elko,2017/03/19/8nkuw6w0gc_A000369_elko.png,A000369-elko.png
A000371-san_bernardino,2017/03/19/32rqv4kizy_A000371_san_bernardino.png,A000371-san_bernardino.png
F000464-capitol,2017/03/19/1qlmzicmzn_F000464_capitol.png,F000464-capitol.png
A000360-nashville,2017/03/19/2wjnaeeg4c_A000360_nashville.png,A000360-nashville.png
A000369-reno,2017/03/19/3kck42l5ab_A000369_reno.png,A000369-reno.png
A000370-charlotte,2017/03/19/3t5j2wzq4e_A000370_charlotte.png,A000370-charlotte.png
A000372-dublin,2017/03/19/24sen26qyq_A000372_dublin.png,A000372-dublin.png
A000372-vidalia,2017/03/19/87gezvkhba_A000372_vidalia.png,A000372-vidalia.png
